revenue_district_office_number,revenue_district_office,bank_code,bank_name,bank_branch,bank_address,,,,,,,1,30
1,"Laoag City, Ilocos Norte",002-465,BPI,Laoag Rizal,"Rizal Cor Balintawak St., Barangay Sta. Angela, Laoag City",,,,,,,2,30
1,"Laoag City, Ilocos Norte",002-652,BPI,Laoag - Fonacier,Rizal Cor. Fonacier Sts. Laoag City 2900,,,,,,,3,40
1,"Laoag City, Ilocos Norte",002-655,BPI,Batac,Brgy Ablan Washington Cor Otis Sts Batac,,,,,,,4,38
1,"Laoag City, Ilocos Norte",002-658,BPI,San Nicolas,Grnd Flr Boy Const'N Bldg San Nicolas Ilocos Norte,,,,,,,5,14
1,"Laoag City, Ilocos Norte",003-069,CBC,Laoag,A Abadilla St Laoag City,,,,,,,6,26
1,"Laoag City, Ilocos Norte",078-021,DBP,Laoag ,"Bonifacio Sats., Laoag City",,,,,,,7,2
1,"Laoag City, Ilocos Norte",086-023,LBP,Laoag,Brgy 20 Rizal St Don Ruiz Laoag City,,,,,,,8,40
1,"Laoag City, Ilocos Norte",086-163,LBP,Batac,Washington St Batac Ilocos Norte,,,,,,,9,10
1,"Laoag City, Ilocos Norte",33078,PNB,Laoag,Jp Rizal St Laoag Ilocos Norte,,,,,,,10,2
1,"Laoag City, Ilocos Norte",33259,PNB,Batac,San Marcelino Cor Concepcion Brgy Valdez Batac Ilocos Norte,,,,,,,11,4
1,"Laoag City, Ilocos Norte",170032,PVB,Laoag,Pvb Bldg Gen Segundo Avenue Laoag Ilocos Norte,,,,,,,12,2
1,"Laoag City, Ilocos Norte",27130,SBTC,Laoag,"G/F Amwslai Bldg., Gen Segundo Avenue, Laoag City",,,,,,,13,40
1,"Laoag City, Ilocos Norte",10128,UCPB,Laoag,Bueno Bldg  Jp Rizal Corner E Ruiz St Laoag City,,,,,,,14,16
1,"Laoag City, Ilocos Norte",177-071,EASTWEST BANK,Laoag,"Ablan Bldg., J.P. Rizal Ave. Cor. Don Severo Hernando Ave., Laoag City",,,,,,,15,62
1,"Laoag City, Ilocos Norte",043-247,UNION,Laoag,"Rizal Corner Guerrero Sts., Laoag City, Ilocos Norte 2900",,,,,,,16,2
2,"Vigan, Ilocos sur",158-046,BOC,Vigan,"Jacinto Cor. Florentino Sts. Vigan, Ilocos Sur",,,,,,,17A,18
2,"Vigan, Ilocos sur",002-654,BPI,Vigan,Jacinto  Corner Florentino Sts Vigan City Ilocos Sur,,,,,,,17A,18
2,"Vigan, Ilocos sur",002-660,BPI,Candon,Gloria Bldg San Antonio Candon Ilocos Sur,,,,,,,17B,9
2,"Vigan, Ilocos sur",002-663,BPI,Santiago Panganiban,Quezon St Brgy Centro East Santiago,,,,,,,17B,9
2,"Vigan, Ilocos sur",3200,CBC,Vigan,"Burgos St Corner Rizal St., Vigan City, Ilocos Sur 2700",,,,,,,18,17
2,"Vigan, Ilocos sur",78085,DBP,Vigan,Florentino St. Vigan City,,,,,,,19,12
2,"Vigan, Ilocos sur",086-032,LBP,Vigan,Salcedo Vigan Ilocos Sur,,,,,,,20,16
2,"Vigan, Ilocos sur",086-110,LBP,Candon,National Highway Candon Ilocos Sur,,,,,,,21A,42
2,"Vigan, Ilocos sur",086-256,LBP,Narvacan,G/F Unit 14 Columbia Towers Ortigas Ave Mandaluyong,,,,,,,21B,28
2,"Vigan, Ilocos sur",33155,PNB,Candon,National Hiway Cor Dario St San Antonio Candon Ilocos Sur,,,,,,,22,2
2,"Vigan, Ilocos sur",33200,PNB,Vigan,Leona Florentino St Vigan Ilocos Sur,,,,,,,23A,11
2,"Vigan, Ilocos sur",010-174,UCPB,Vigan,Ucpb Bldg  Ml Quezon Avenuevigan Ilocos Sur 2700,,,,,,,23B,21
2,"Vigan, Ilocos sur",043-251,UNION,Vigan,"Ar Lahoz Bldg., Jose Singson St. Vigan, Ilocos Sur 2700",,,,,,,24,32
