revenue_district_office_number,address,longitude ,latitude,number_of_banks
1,"Laoag City, Ilocos Norte ",120.588427,18.200054,30
2,"Bantay, Ilocos Sur ",120.455116,17.591261,30
3,"San Fernando, La Union ",120.360835,16.592137,40
4,"Calasiao, West Pangasinan ",120.361916,15.983475,38
5,"Alaminos, West Pangasinan ",119.992524,16.120925,14
6,"Urdaneta, East Pangasinan ",120.559157,15.968626,26
7,"Bangued, Abra ",120.625215,17.587403,2
8,Baguio City ,120.592379,16.396014,40
9,"La Trinidad, Benguet ",120.602835,16.44587,10
10,"Bontoc, Mt. Province ",120.987488,17.052271,2
11,"Tabuk, Kalinga-Apayao ",121.466871,17.472677,4
12,"Lagawe, Ifugao ",121.201072,16.807502,2
13,"Tuguegarao, Cagayan ",121.729734,17.612166,40
14,"Bayombong, Nueva Vizcaya ",121.147353,16.477672,16
15,"Ilagan, Isabela ",121.995652,17.124973,62
16,"Cabarroguis, Quirino ",121.522294,16.418536,2
17A,"Tarlac City, Tarlac ",120.59739,15.475896,18
17B,"Paniqui, Tarlac ",120.556408,15.667156,9
18,Olongapo City ,120.284306,14.839267,17
19,Subic Bay Metropolitan Authority (SBMA) ,120.283631,14.823643,12
20,"Balanga, Bataan ",120.510337,14.674006,16
21A,North Pampanga ,120.530697,15.066869,42
21B,South Pampanga ,120.688045,15.023756,28
22,"Baler, Aurora ",121.57142,15.733685,2
23A,North Nueva Ecija ,120.920161,15.580641,11
23B,South Nueva Ecija ,120.967248,15.488984,21
24,Valenzuela ,120.963964,14.694055,32
25A,"Plaridel, Bulacan ",120.861532,14.871562,36
25B,"Sta. Maria, Bulacan ",120.862854,14.871356,22
26,Malabon-Navotas ,120.96388,14.658814,33
27,Caloocan City ,121.048422,14.75671,32
28,Novaliches ,121.028876,14.64953,41
29,San Nicolas-Tondo ,120.97088,14.590107,58
30,Binondo ,120.974954,14.592296,52
31,Sta. Cruz ,120.974954,14.592296,41
32,Sampaloc-Sta. Mesa-San Miguel-Quiapo ,120.974954,14.592296,42
33,Intramuros-Ermita-Malate ,120.974954,14.592296,85
34,Paco-Pandacan-Sta. Ana ,120.994908,14.584939,27
35,"Romblon, Romblon ",121.980668,12.41476,1
36,"Puerto Princesa, Palawan ",118.743426,9.74025,16
37,"San Jose, Occidental Mindoro ",121.065372,12.348182,5
38,North Quezon City ,121.028756,14.649181,114
39,South Quezon City ,121.028093,14.638083,118
40,Cubao ,121.028018,14.638176,67
41,Mandaluyong ,121.04383,14.574157,64
42,San Juan ,121.027697,14.600955,43
43A,East Pasig ,121.061342,14.573043,55
43B,West Pasig ,121.081632,14.559136,32
44,Taguig-Pateros ,121.044226,14.554925,49
